,name,cate_1,cate_2,cate_3,dong,lon,lat,naver_keyword,naver_map_url
240024,코운코운,기타 간이,빵/도넛,제과점업,상수동,37.54613184,126.9220499,상수동 코운코운,https://m.place.naver.com/restaurant/1830402626
240028,김씨네심야식당,주점,요리 주점,기타 주점업,상수동,37.54611591,126.9212919,상수동 김씨네심야식당,https://m.place.naver.com/restaurant/33299940
240056,해운대,한식,백반/한정식,한식 일반 음식점업,상수동,37.54547458,126.9250695,상수동 해운대,https://m.place.naver.com/restaurant/21660132
240095,후계동,동남아시아,베트남식 전문,기타 외국식 음식점업,상수동,37.54760626,126.9216891,상수동 후계동,https://m.place.naver.com/restaurant/1893956178
240186,히메시야,일식,일식 회/초밥,일식 음식점업,상수동,37.54866573,126.9212778,상수동 히메시야,https://m.place.naver.com/restaurant/33626741
240210,나들목,주점,요리 주점,기타 주점업,상수동,37.54748829,126.9225849,상수동 나들목,https://m.place.naver.com/restaurant/21907890
240424,이반추얼리,서양식,경양식,서양식 음식점업,상수동,37.54857458,126.9221505,상수동 이반추얼리,https://m.place.naver.com/restaurant/1414552557
240828,회뜰때까지,한식,횟집,한식 해산물 요리 전문점,상수동,37.54762314,126.9215644,상수동 회뜰때까지,https://m.place.naver.com/restaurant/36369666
241037,버들골이야기,한식,백반/한정식,한식 일반 음식점업,상수동,37.54757859,126.9226062,상수동 버들골이야기,https://m.place.naver.com/restaurant/33972707
241326,여기가거기,한식,백반/한정식,한식 일반 음식점업,상수동,37.54800702,126.9211741,상수동 여기가거기,https://m.place.naver.com/restaurant/20898461
